Showers,Sinks,CW,DW,Baths
,,,,
,0.0336272,,,
,,,,
,,,,
,0.0110672,,,
,0.1564914,,,
,0.0366069,,,
,,,,
,,,,
,,,,
,0.0121922,,,
,,,,
,0.0707814,,,
,0.0126786,,,
,0.0254789,,,
,,,,
,,,,
,0.0664032,,,
,,,,
,0.0768927,,,
,,,,
,,,,
,0.0098814,,,
,0.0840073,,,
,,,,
,,,,
,,,,
,0.0114625,,,
,,,,
,,,,
,,,,
,,,,
,0.0131651,,,
,,,,
,,,,
,,,,
,0.0663119,,,
,0.0069018,,,
,,,,
,,,,
,,,,
,0.0519306,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0922773,,,
,0.0159927,,,
,,,,
,0.0158711,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0481909,,,
,,,,
,,,,
,0.0147157,,,
,,,,
,,,,
,0.0040438,,,
,,,,
,0.0049559,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0209486,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0045911,,,
,0.0075099,,,
,0.0901186,,,
,,,,
,,,,
,,,,
,,,,
,0.0567346,,,
,0.1518395,,,
,0.0320158,,,
,0.0060809,,,
,,,,
,,0.0323779,,
,,,,
,,0.0373234,,
,,,,
,,,,
,,,,
,,,,
,0.0086044,,,
,,0.0862132,,
,,,,
,,0.0529875,,
,,,,
,0.0880511,,,
,0.169778,,,
,,,,
,0.0018851,0.0536132,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.1114017,,,
,,,,
,0.0259654,0.0172386,,
,,,,
,,,,
,,,,
,0.0170569,,,
,,,,
,,,,
,0.0682579,,,
,0.0077835,,,
,0.0069322,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0240195,,,
,,,,
,0.0690483,,,
,,,,
0.239429,,,,
,,,,
,,,,
0.3805497,,,,
0.1268499,,,,
,,,,
,,,,
,0.0929156,,,
,0.0184554,,,
,,,,
,,0.0802988,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.020979,,,
,,,,
,,,,
