Date/Time,Appl_1:InteriorEquipment:Electricity [J](Hourly),COOLING HVAC FAN PUMP_1 [J](Hourly),COOLING:ELECTRICITY_1 [J](Hourly),ELECTRICITY:UNIT_1 [J](Hourly),GAS:UNIT_1 [J](Hourly),HEATING HVAC FAN PUMP_1 [J](Hourly),HEATING:ELECTRICITY_1 [J](Hourly),HEATING:GAS_1 [J](Hourly),HEATING:PROPANE_1 [m3](Hourly),HPWHFAN:ELECTRICITY_1 [J](Hourly),METERCOOLINGDUCTLOSSESLATENT_1 [J](Hourly),METERCOOLINGDUCTLOSSESSENS_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTDEHUM_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTHVAC_1 [J](Hourly),METERDELIVEREDCOOLINGSENS_1 [J](Hourly),METERDELIVEREDHEATINGSUPP_1 [J](Hourly),METERDELIVEREDHEATINGTOZONE_1 [J](Hourly),METERDHWDELIVERED_1 [J](Hourly),METERHEATINGDUCTLOSSES_1 [J](Hourly),METERPIPELOSSESUNIT_1 [J](Hourly),Misc_1:InteriorEquipment:Electricity [J](Hourly),Misc_1:InteriorEquipment:Gas [J](Hourly),PROPANE:UNIT_1 [m3](Hourly),PV:ELECTRICITY_1 [J](Hourly),SDHWPUMP:ELECTRICITY_1 [J](Hourly),TOTALLIGHTS:ELECTRICITY_1 [J](Hourly),VentFans_1:InteriorEquipment:Electricity [J](Hourly),WATERHEATING:GAS_1 [J](Hourly),WATERHEATING:PROPANE_1 [m3](Hourly) 
 01/02  10:00:00,1308343.3562195148,0.0,0.0,4033419.237602011,6617189.615890607,154612.29569326019,0.0,5017318.092749804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3960220.584373977,302568.4814540241,553787.3241042476,352617.71490672996,1314153.1734671049,0.0,0.0,0.0,0.0,1223424.412222131,32886.0,1599871.5231408028,0.0 
 01/02  11:00:00,1380753.0564509056,0.0,0.0,4085065.944213602,7799859.431212205,167113.36932645855,0.0,6163241.904852331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4957419.018883233,429096.9272513117,591867.1179523253,319819.73993108168,1314153.1734671049,0.0,0.0,0.0,0.0,1190160.3449691339,32886.0,1636617.5263598753,0.0 
 01/02  12:00:00,1552447.89967104,0.0,0.0,4132654.5405505576,3382884.517682791,58531.883980772654,0.0,1772401.6889845082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1361792.9742123406,1125211.779780738,231460.78935555937,254223.78997978485,1344714.875175642,0.0,0.0,0.0,0.0,1144073.8817231039,32886.0,1610482.828698283,0.0 
 01/02  13:00:00,1439745.4837873749,0.0,0.0,3976070.36816204,2124020.135821185,17352.493020379723,0.0,568267.3721839675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448380.10516841497,305320.2143009192,63060.52979715593,221425.81500413645,1375276.5768841792,0.0,0.0,0.0,0.0,1110809.8144701066,32886.0,1555752.7636372178,0.0 
 01/02  14:00:00,1289556.6705075589,0.0,0.0,3799410.868215927,0.0,670.246017725715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2077.772659825315,313112.5186037982,2077.772659825315,196787.8498538904,1375276.5768841792,0.0,0.0,0.0,0.0,1101021.3748064636,32886.0,0.0,0.0 
 01/02  15:00:00,1446774.7216129299,0.0,0.0,3927562.203861506,3394498.788714767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346596.4137456422,0.0,196787.8498538904,1344714.875175642,0.0,0.0,0.0,0.0,1103186.6070729348,32886.0,3394498.788714767,0.0 
 01/02  16:00:00,1202247.236650511,0.0,0.0,3769998.5465945166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281480.4071544762,0.0,172202.52992832385,1405838.278592717,0.0,0.0,0.0,0.0,1129027.0313512877,32886.0,0.0,0.0 
 01/02  17:00:00,1451359.2618874673,0.0,0.0,4187077.573579139,1555030.9200657188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5501.957894969996,0.0,229585.82482953883,1466961.6820097913,0.0,0.0,0.0,0.0,1235870.6296818802,32886.0,1555030.9200657188,0.0 
 01/02  18:00:00,1826615.1859950594,0.0,0.0,5083872.39461482,612096.677727514,13373.04305688633,0.0,612096.677727514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521344.2397217677,55470.41079694469,21281.54428686395,303394.42983091747,1589208.4872124897,0.0,0.0,0.0,0.0,1531789.6783503849,122886.0,0.0,0.0 
 01/02  19:00:00,1594814.8985418627,0.0,0.0,5343326.466468855,1446547.8245837717,46640.06594280887,0.0,1446547.8245837717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161936.8597833813,0.0,139911.6256754172,360830.3699568123,1619770.1889210267,0.0,0.0,0.0,0.0,2031215.3130631569,50886.0,0.0,0.0 
